sample,time_s,zone_index,zone_tolerance_mm,reference_x_mm,reference_y_mm,initial_x_mm,initial_y_mm,no_alignment_x_mm,no_alignment_y_mm,v11_x_mm,v11_y_mm,initial_contour_error_mm,no_alignment_contour_error_mm,v11_contour_error_mm
47,1.7625,-1,nan,-17.509658203125,7.541761566378324,-21.233605366021308,9.078639120979409,-20.74160624716122,9.995592723936166,-20.601329976835636,9.5232859087723,0.05645415083574723,1.09018120092197,0.7028031333393059
48,1.7999999999999998,-1,nan,-17.04,7.367980281069304,-20.81831199642676,9.084328766099478,-20.141271346612168,9.88356334981117,-19.995910022713964,9.420739801311777,0.4031967929394884,1.3783459851470572,0.9873347154407465
49,1.8375,-1,nan,-16.564716796875004,7.221276634622939,-20.396896283652904,9.051612646139388,-19.525020835266638,9.733280404676849,-19.376157100160583,9.291020811476104,0.7524392616874169,1.6402985587530452,1.2531080489822424
50,1.875,-1,nan,-16.083984375,7.107921762401611,-19.969541313913286,8.98259207448305,-18.895643480041432,9.548245315336324,-18.74537024953764,9.137097650695871,1.0916336150136658,1.8534338881887793,1.4789037963822438
51,1.9124999999999999,-1,nan,-15.597978515624998,7.0331818239371895,-19.536399673872225,8.880179487194901,-18.255966075276376,9.33305719925288,-18.106890178577334,8.962773222754054,1.4033345661954109,1.9940825699472462,1.6424085865330773
52,1.95,-1,nan,-15.106874999999999,7.00106455053492,-19.097593003994074,8.748251130322636,-17.60883071307461,9.093302233259097,-17.46407445296634,8.772694387309175,1.6673664804282593,2.0419972793841015,1.7243357798768728
53,1.9874999999999998,-1,nan,-14.610849609375,7.0140892211067865,-18.65321909464079,8.591672104398137,-16.957079364995074,8.835432571444205,-16.82028274996494,8.572309769826584,1.8648717332678042,1.985732373157956,1.713433141292211
54,2.025,-1,nan,-14.110078125000005,7.0730907159331,-18.203358594969796,8.416181848806518,-16.30354510269379,8.566648695471493,-16.178868744225767,8.367790676847905,1.982718967185129,1.8262811207578324,1.609988944525113
55,2.0625,-1,nan,-13.604736328125,7.1770678846536455,-17.748077856643977,8.228215836390051,-15.65104865904037,8.294771977097147,-15.543176513530907,8.165918930378472,2.0159949647518127,1.5766836761914806,1.4256844778038722
56,2.1,-1,nan,-13.094999999999995,7.323085563827446,-17.287430050716434,8.034711014772139,-15.002398438059684,8.028095119244743,-14.916539934072915,7.973941886009708,1.967320042960968,1.2578001992844192,1.1798520202084577
57,2.1374999999999997,-1,nan,-12.581044921874998,7.506238186936652,-16.821456830740157,7.842903590001875,-14.360392451844513,7.775205050060672,-14.302283973370704,7.799395028389686,1.8437708450155548,0.892774113909619,0.8943717952091567
58,2.175,-1,nan,-12.063046874999998,7.719681066464794,-16.350191121698398,7.66011417763592,-13.72782125874839,7.544778060932859,-13.703727158772342,7.649893341567848,1.6532963478399338,0.5027961916243797,0.5896111502496957
59,2.2125,2,0.46,-11.541181640625002,7.954733140314161,-15.873660702615641,7.49351646454803,-13.107471414521248,7.345349598645456,-13.124184779065407,7.532892698014726,1.4020543219015953,0.10520925533033065,0.28241366339945095
