plant_group,scenario_id,proposed,comparator,plant_id,tasks_within_plant,plant_median_effect_percent
edge_challenge,n0_d1_m0,v11_full,raw_top2,C05_strong_friction,5,0.0
edge_challenge,n0_d1_m0,v11_full,raw_top2,C06_tight_saturation,5,0.0
edge_challenge,n0_d1_m0,v11_full,uniform_full_trajectory,C01_max_delay,5,1.280523871909086
edge_challenge,n0_d1_m0,v11_full,uniform_full_trajectory,C02_low_bandwidth,5,0.8462892032143312
edge_challenge,n0_d1_m0,v11_full,uniform_full_trajectory,C03_high_asymmetry,5,0.9007260666233192
edge_challenge,n0_d1_m0,v11_full,uniform_full_trajectory,C04_strong_coupling,5,9.035496775159872
edge_challenge,n0_d1_m0,v11_full,uniform_full_trajectory,C05_strong_friction,5,9.05011038482984
edge_challenge,n0_d1_m0,v11_full,uniform_full_trajectory,C06_tight_saturation,5,9.093828679496093
edge_challenge,n1_d1_m1,v11_full,no_residual_alignment,C01_max_delay,5,4.137934363829781
edge_challenge,n1_d1_m1,v11_full,no_residual_alignment,C02_low_bandwidth,5,4.326244119415822
edge_challenge,n1_d1_m1,v11_full,no_residual_alignment,C03_high_asymmetry,5,1.6275571890256755
edge_challenge,n1_d1_m1,v11_full,no_residual_alignment,C04_strong_coupling,5,6.144250953747556
edge_challenge,n1_d1_m1,v11_full,no_residual_alignment,C05_strong_friction,5,6.393925775371481
edge_challenge,n1_d1_m1,v11_full,no_residual_alignment,C06_tight_saturation,5,6.398452813348954
edge_challenge,n1_d1_m1,v11_full,raw_top2,C01_max_delay,5,0.0
edge_challenge,n1_d1_m1,v11_full,raw_top2,C02_low_bandwidth,5,0.0
edge_challenge,n1_d1_m1,v11_full,raw_top2,C03_high_asymmetry,5,0.0
edge_challenge,n1_d1_m1,v11_full,raw_top2,C04_strong_coupling,5,0.0
edge_challenge,n1_d1_m1,v11_full,raw_top2,C05_strong_friction,5,0.0
edge_challenge,n1_d1_m1,v11_full,raw_top2,C06_tight_saturation,5,0.0
edge_challenge,n1_d1_m1,v11_full,uniform_full_trajectory,C01_max_delay,5,1.9004814955991525
edge_challenge,n1_d1_m1,v11_full,uniform_full_trajectory,C02_low_bandwidth,5,0.7427029507987424
edge_challenge,n1_d1_m1,v11_full,uniform_full_trajectory,C03_high_asymmetry,5,0.542083106815518
edge_challenge,n1_d1_m1,v11_full,uniform_full_trajectory,C04_strong_coupling,5,9.530431664432465
edge_challenge,n1_d1_m1,v11_full,uniform_full_trajectory,C05_strong_friction,5,9.207767302438931
edge_challenge,n1_d1_m1,v11_full,uniform_full_trajectory,C06_tight_saturation,5,9.496359931148156
