scenario_id,scope,plant_id,manifest_id,value,proposed,baseline
delay_2,demand_conflict,S26006,s_curve--demand_conflict,-0.19930424705775882,0.3298847682410163,0.32922860165538825
delay_2,demand_conflict,S26007,ellipse--demand_conflict,-48.36362257353589,0.3132242468108842,0.21111930362554723
delay_2,demand_conflict,S26007,figure_eight--demand_conflict,-30.421016316771457,0.3728449751451176,0.2858779862898306
delay_2,demand_conflict,S26007,harmonic_loop--demand_conflict,7.149630213880538,0.47040928172744084,0.5066315651849607
delay_2,demand_conflict,S26007,rounded_square--demand_conflict,-22.2465829916875,0.45563209711680797,0.372715609685213
delay_2,demand_conflict,S26007,s_curve--demand_conflict,-20.398108350864113,0.3637662084545178,0.30213614934416616
delay_2,demand_conflict,S26008,ellipse--demand_conflict,-40.69696209576214,0.3091647802165523,0.21973806371606405
delay_2,demand_conflict,S26008,figure_eight--demand_conflict,-14.621728516316614,0.39354850831107663,0.3433454663485155
delay_2,demand_conflict,S26008,harmonic_loop--demand_conflict,11.32171422390595,0.4647376823408784,0.5240715675473315
delay_2,demand_conflict,S26008,rounded_square--demand_conflict,-6.582522480085632,0.408705837440021,0.3834642190199481
delay_2,demand_conflict,S26008,s_curve--demand_conflict,-15.14787960639423,0.34994795774245246,0.30391176888247246
delay_2,all_tasks,S26001,ellipse--demand_aligned,-54.88565602956594,0.28506448460122363,0.1840483437322356
delay_2,all_tasks,S26001,ellipse--demand_conflict,-37.13008466403408,0.31440522252509995,0.22927516109640445
delay_2,all_tasks,S26001,ellipse--neutral,-53.42717628753302,0.28866075864515206,0.18814187005839308
delay_2,all_tasks,S26001,figure_eight--demand_aligned,-5.233412854628596,0.6499080357581851,0.6175871504385971
delay_2,all_tasks,S26001,figure_eight--demand_conflict,-4.654131146775543,0.5851465939012683,0.5591242194544721
delay_2,all_tasks,S26001,figure_eight--neutral,-5.003713393721214,0.6425579974615514,0.6119383559819644
delay_2,all_tasks,S26001,harmonic_loop--demand_aligned,-8.126408739285187,0.5121317298582772,0.47364167165963234
delay_2,all_tasks,S26001,harmonic_loop--demand_conflict,27.24305461048308,0.5616143651205128,0.7719048155661469
delay_2,all_tasks,S26001,harmonic_loop--neutral,-3.265183158749283,0.5202522200420531,0.5038021568627548
delay_2,all_tasks,S26001,rounded_square--demand_aligned,3.9806772372687402,0.6097279598719167,0.6350054784062436
delay_2,all_tasks,S26001,rounded_square--demand_conflict,3.3056525160002788,0.6754179678533053,0.6985082224843273
delay_2,all_tasks,S26001,rounded_square--neutral,3.8354798711336597,0.6846990329403658,0.7120079547247022
delay_2,all_tasks,S26001,s_curve--demand_aligned,22.663383560671267,0.43484404505651486,0.5622744633490061
delay_2,all_tasks,S26001,s_curve--demand_conflict,14.542469046201175,0.43536110521856763,0.5094473247231286
delay_2,all_tasks,S26001,s_curve--neutral,16.065328287911935,0.4329466637350551,0.5158138524925012
delay_2,all_tasks,S26002,ellipse--demand_aligned,-60.685089164130204,0.28339329065376107,0.17636564296534807
delay_2,all_tasks,S26002,ellipse--demand_conflict,-45.9199825541132,0.30803205733416655,0.21109655575783492
delay_2,all_tasks,S26002,ellipse--neutral,-58.896586816313594,0.2848781478839333,0.17928525312708946
delay_2,all_tasks,S26002,figure_eight--demand_aligned,-6.990513306158778,0.595746500841445,0.556821798897895
delay_2,all_tasks,S26002,figure_eight--demand_conflict,-4.478861995097157,0.5394610162854379,0.5163350805933864
delay_2,all_tasks,S26002,figure_eight--neutral,-7.060171561372581,0.5903006520822859,0.5513727873524789
delay_2,all_tasks,S26002,harmonic_loop--demand_aligned,-8.605151027432012,0.4520840070913675,0.41626387221465944
delay_2,all_tasks,S26002,harmonic_loop--demand_conflict,24.962386076887917,0.5725589131138025,0.7630292105243108
delay_2,all_tasks,S26002,harmonic_loop--neutral,3.833937057587844,0.46497081037842936,0.4835082108507149
delay_2,all_tasks,S26002,rounded_square--demand_aligned,6.373439460747883,0.5700344352681664,0.6088383808878512
delay_2,all_tasks,S26002,rounded_square--demand_conflict,3.0565292510726167,0.6674696928406806,0.6885143348842456
delay_2,all_tasks,S26002,rounded_square--neutral,6.571808645909059,0.6435876246552169,0.6888580580737488
delay_2,all_tasks,S26002,s_curve--demand_aligned,21.326026563793288,0.4314293755922275,0.5483762377173624
delay_2,all_tasks,S26002,s_curve--demand_conflict,13.756820942872555,0.42135495688067653,0.48856612370651503
delay_2,all_tasks,S26002,s_curve--neutral,14.977255995383196,0.41988901091152986,0.4938549276752695
delay_2,all_tasks,S26003,ellipse--demand_aligned,-38.7474092944191,0.25361559739896494,0.18278942914227533
delay_2,all_tasks,S26003,ellipse--demand_conflict,-40.456027232030166,0.313324245794131,0.2230763976233832
delay_2,all_tasks,S26003,ellipse--neutral,-36.134771371312226,0.2627490646312882,0.19300657869004767
delay_2,all_tasks,S26003,figure_eight--demand_aligned,-23.028951747811195,0.4028727905375339,0.32746177612189675
delay_2,all_tasks,S26003,figure_eight--demand_conflict,-14.062907295690419,0.3957420513153462,0.3469506965042073
delay_2,all_tasks,S26003,figure_eight--neutral,-13.54212250357176,0.39120895485869117,0.34454962284713736
delay_2,all_tasks,S26003,harmonic_loop--demand_aligned,-1.7789628220482578,0.34344659328718996,0.3374435971485352
delay_2,all_tasks,S26003,harmonic_loop--demand_conflict,12.063299182610606,0.4792950159993361,0.5450454833353903
delay_2,all_tasks,S26003,harmonic_loop--neutral,-5.137196924852651,0.389015680318497,0.37000765827583165
delay_2,all_tasks,S26003,rounded_square--demand_aligned,4.770164864075281,0.4958354773410836,0.5206724096848021
delay_2,all_tasks,S26003,rounded_square--demand_conflict,-5.0004554124712755,0.4166458233755089,0.3968038250299078
delay_2,all_tasks,S26003,rounded_square--neutral,-3.23888846562721,0.46674648753608877,0.45210336383221456
